Last name;First name;ID;photoURL;group;position;country;party;telephone_1;telephone_2;email_1;address_brussels;address_strassbourg;tw_link;fb_link;ig_link;web_link;yt_link;li_link;D-ZA;D-MD;SEDE;ENVI;BUDG;D-CA;DNAT;AFET;SANT;D-BR;D-UA;CULT;D-RS;FISC;HOUS;DAFR;DCAB;DPAL;QUE;DSEE;ECON;REGI;DEVE;DMAG;DAND;CPDE;DACP;DSAS;PETI;D-AL;BCPR;D-IR;DCAR;CPCO;D-US;JURI;DASE;AFCO;D-CN;DEEA;D-MK;BURO;IMCO;DMED;ID;D-BY;D-AF;TRAN;D-IL;D-RU;EUDS;D-ME;FEMM;CONT;DKOR;DLAT;LIBE;D-IN;DMER;D-UK;D-JP;DROI;DARP;D-MX;PE;PECH;AGRI;ITRE;D-IQ;DPAP;DANZ;DPAC;DMAS;DEPA;DCAM;DCAS;DSCA;EMPL;D-TR;D-CL;INTA;find_me_URL
ANADIOTIS;Nikolaos;256858;https://www.europarl.europa.eu/mepphoto/256858.jpg;Non-attached Members;Member;Greece;Dimokratikó Patriotikó Kínima «NIKI»;0032 2 28 45182;0033 3 88 1 75182;nikolaos.anadiotis@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 04G351, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G00041, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256858;Member;;;;Member;;;;;;;Substitute;;;;;;;;;;;;;;;;;Member;;;;;;;;https://www.europarl.europa.eu/meps/en/256858
ANDERSON;Christine;197475;https://www.europarl.europa.eu/mepphoto/197475.jpg;Europe of Sovereign Nations Group;Member of the Bureau;Germany;Alternative für Deutschland;0032 2 28 45841;0033 3 88 1 75841;christine.anderson@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 02M035, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G00026, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;197475;;;;;;Member;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197475
ANDERSSON;Li;256805;https://www.europarl.europa.eu/mepphoto/256805.jpg;The Left group in the European Parliament - GUE/NGL;Member of the Bureau;Finland;Vasemmistoliitto;0032 2 28 45956;0033 3 88 1 75956;li.andersson@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 07H153, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G01034, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Substitute;;;;;;;Substitute;;;;;Member;;;;;;;;;;;Member;;;;;;;Member;;;;;;;;;;;256805;;;;;Substitute;Substitute;;;;;;;;;;;;;;;;;;;;;;;Member;;;;Chair;;;;https://www.europarl.europa.eu/meps/en/256805
ANDRESEN;Rasmus;197448;https://www.europarl.europa.eu/mepphoto/197448.jpg;Group of the Greens/European Free Alliance;Member;Germany;Bündnis 90/Die Grünen;0032 2 28 45373;0033 3 88 1 75373;rasmus.andresen@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 05F158, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G04035A, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/RasmusAndresen;https://www.facebook.com/AndresenRasmus/;https://www.instagram.com/gruenrasmus;;https://www.youtube.com/user/RasmusAndresen;;;;;;Member;;;;;;;;;Member;;;;;;;Member;Substitute;;;;;;;;;;;;;Member;;;;;Substitute;;;;;197448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197448
ANDREWS;Barry;204332;https://www.europarl.europa.eu/mepphoto/204332.jpg;Renew Europe Group;Member;Ireland;Fianna Fáil Party;0032 2 28 45618;0033 3 88 1 75618;barry.andrews@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08G305, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. WINSTON CHURCHILL, M02074, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;;;;;;;Vice-Chair;;;;;Chair;;;;;;;;;;;Member;;;;;;;;;;;204332;;;;;;;;;;;;;;;Member;;Substitute;;;;;;Substitute;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/204332
ANDRIUKAITIS;Vytenis Povilas;119652;https://www.europarl.europa.eu/mepphoto/119652.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Lithuania;Lietuvos socialdemokratų partija;0032 2 28 45185;0033 3 88 1 75185;vytenispovilas.andriukaitis@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 11G257, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T08078, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;119652;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;Member;;;;;https://www.europarl.europa.eu/meps/en/119652
ANDROUËT;Mathilde;197691;https://www.europarl.europa.eu/mepphoto/197691.jpg;Patriots for Europe Group;Member;France;Rassemblement national;0032 2 28 45337;0033 3 88 1 75337;mathilde.androuet@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 06M021, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G07032, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/mandrouet?s=21;https://www.facebook.com/elsa.vassent;https://www.instagram.com/mathildeandrouet?igsh=MWVkMDJva2o3ZTB5OA%3D%3D&utm_source=qr;;;;;;;Member;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;Member;;;;;;;;;;;;;;;197691;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197691
ANGEL;Marc;202073;https://www.europarl.europa.eu/mepphoto/202073.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Luxembourg;Parti ouvrier socialiste luxembourgeois;0032 2 28 45513;0033 3 88 1 75513;marc.angel@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10G130, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T12069, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/marcangel_lu;https://www.facebook.com/MarcAngelLuxembourg/;https://www.instagram.com/marcangel_mep/;;;https://www.linkedin.com/in/marc-angel-0b3a282/?originalSubdomain=lu;;;;;;;;;;;;;;;;;;;Member;;;;;;Substitute;;;;;;;;;;;;;Substitute;;;;Member;Substitute;;202073;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;Member;;Member;;https://www.europarl.europa.eu/meps/en/202073
ANNEMANS;Gerolf;124973;https://www.europarl.europa.eu/mepphoto/124973.jpg;Patriots for Europe Group;Treasurer;Belgium;Vlaams Belang;0032 2 28 45700;0033 3 88 1 75700;gerolf.annemans@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 07M061, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G06030, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;Member;;;;;;;124973;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;Member;;;Member;;;;;https://www.europarl.europa.eu/meps/en/124973
ANNUNZIATA;Lucia;257123;https://www.europarl.europa.eu/mepphoto/257123.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Italy;Partito Democratico;0032 2 28 45231;0033 3 88 1 75231;lucia.annunziata@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G165, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T06076, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;Substitute;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;257123;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/257123
ANTOCI;Giuseppe;257138;https://www.europarl.europa.eu/mepphoto/257138.jpg;The Left group in the European Parliament - GUE/NGL;Member;Italy;Movimento 5 Stelle;;;giuseppe.antoci@europarl.europa.eu;;;;https://www.facebook.com/antocipeppe;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;Substitute;;;;;;;;;Member;257138;;;;Member;;;;;;;;Member;;;;;;;;;;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257138
ARIAS ECHEVERRÍA;Pablo;96808;https://www.europarl.europa.eu/mepphoto/96808.jpg;Group of the European People's Party (Christian Democrats);Member;Spain;Partido Popular;0032 2 28 45198;0033 3 88 1 75198;pablo.ariasecheverria@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 10E140, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10037, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/pabloariase?lang=en;;https://www.instagram.com/pabloarias_eu/?igsh=MTJ0M2Z3dWE2Y3owdw%3D%3D&utm_source=qr;;;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;96808;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/96808
ARIMONT;Pascal;24922;https://www.europarl.europa.eu/mepphoto/24922.jpg;Group of the European People's Party (Christian Democrats);Member;Belgium;Christlich Soziale Partei;0032 2 28 45778;0033 3 88 1 75778;pascal.arimont@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08E153, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T11005, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://twitter.com/pascal_arimont;https://www.facebook.com/pascalarimont.official;https://www.instagram.com/pascalarimontmep/;https://pascal-arimont.eu/;;;;;;Member;;;;;;;;;;;;;;;;;;Member;;;;;;;;;;;;;Member;;;;;;;;;;24922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/24922
ARŁUKOWICZ;Bartosz;197492;https://www.europarl.europa.eu/mepphoto/197492.jpg;Group of the European People's Party (Christian Democrats);Member;Poland;Platforma Obywatelska;0032 2 28 45194;0033 3 88 1 75194;bartosz.arlukowicz@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13E108, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T10038, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/Arlukowicz;;;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;Member;;;;;;;;197492;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/197492
ARNAOUTOGLOU;Sakis;256829;https://www.europarl.europa.eu/mepphoto/256829.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Greece;PASOK-KINAL;0032 2 28 45250;0033 3 88 1 75250;sakis.arnaoutoglou@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 14G210, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T05093, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;https://x.com/S_Arnaoutoglou;https://www.facebook.com/SakisArnaoutoglouForecasts/;https://www.instagram.com/sakisarnaoutoglou/;;;https://gr.linkedin.com/in/sakis-arnaoutoglou;;;;Member;;;;;;;;;;;;;Substitute;;;;;Substitute;;;;;Substitute;;;;;;;;;;;;Member;;;;;;256829;;;;;;;;;;;;;;;;;;;;;Member;Substitute;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256829
ARNDT;Anja;256951;https://www.europarl.europa.eu/mepphoto/256951.jpg;Europe of Sovereign Nations Group;Member;Germany;Alternative für Deutschland;0032 2 28 45202;0033 3 881 75202;anja.arndt@europarl.europa.eu;Parlement européen, Bât. WILLY BRANDT, 02M069, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. VACLAV HAVEL, V03009, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;https://www.instagram.com/anja.arndt.afd;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;;;Member;;;;;256951;;;;;;;;;;;;Substitute;;;;;;;;;Substitute;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256951
ARVANITIS;Konstantinos;197701;https://www.europarl.europa.eu/mepphoto/197701.jpg;The Left group in the European Parliament - GUE/NGL;Vice-Chair;Greece;Coalition of the Radical Left;0032 2 28 45787;0033 3 88 1 75787;konstantinos.arvanitis@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 08H359, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G01022, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/arvanitis.kostas;https://www.instagram.com/karvanitis16/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substitute;;;;;;;;;;;Member;;;;197701;;;;;;Member;;;;;;Substitute;;;;;;;;;;;;;;;;;;;;;Member;;;;https://www.europarl.europa.eu/meps/en/197701
ASENS LLODRÀ;Jaume;257015;https://www.europarl.europa.eu/mepphoto/257015.jpg;Group of the Greens/European Free Alliance;Member;Spain;Movimiento Sumar;0032 2 28 45220;0033 3 88 1 75220;jaume.asens@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 06E266, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. SALVADOR DE MADARIAGA, G04037, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;;;;;;;;;;;;;Substitute;;;;;;;;;;Member;;;;;;;;;;;;;;;;;;;;;;;;;;;257015;;;;;;;;;;;;Member;;;;;Member;;;;;;;;;;;;;;;;;;;;https://www.europarl.europa.eu/meps/en/257015
ASSIS;Francisco;28307;https://www.europarl.europa.eu/mepphoto/28307.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Portugal;Partido Socialista;0032 2 28 45255;0033 3 88 1 75255;francisco.assis@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 13G201, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07058, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/people/Francisco-Assis/61569298170270/;https://www.instagram.com/franciscoassis.deputado/;https://linktr.ee/franciscoassis.deputado;https://www.youtube.com/channel/UCL9_ihH20F339Q-2EfCHFeg;;;;;;;;;Substitute;;;;;;;;;Member;;;;Member;;;;;Member;Chair;;;;;;Member;;;;;;;;;;;;28307;;;;;Member;;;;;;Substitute;Member;;;;;Member;;;;;;;;;;;;Member;;;;;;;Substitute;https://www.europarl.europa.eu/meps/en/28307
ATTARD;Daniel;256934;https://www.europarl.europa.eu/mepphoto/256934.jpg;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Member;Malta;Partit Laburista;0032 2 28 45260;0033 3 88 1 75260;daniel.attard@europarl.europa.eu;Parlement européen, Bât. ALTIERO SPINELLI, 15G103, 60, rue Wiertz / Wiertzstraat 60, B-1047 Bruxelles/Brussel;Parlement européen, Bât. LOUISE WEISS, T07065, 1, avenue du Président Robert Schuman, CS 91024, F-67070 Strasbourg Cedex;;https://www.facebook.com/AttardDa;https://www.instagram.com/daniel__attard;;;https://www.linkedin.com/in/daniel-attard-562b8188?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app;;;Substitute;;;;;;;;;;;;;;;;;;;Substitute;;;;;Substitute;;;;;Vice-Chair;;;;;Member;;;;;;;;256934;;;Member;;;;;;;;;;;;;;;;;;;;Substitute;;;;Substitute;;;;;;;;;;https://www.europarl.europa.eu/meps/en/256934
